#options: 2126x1196 fps=16/1 timebase=1/16 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=37 lookahead_threads=9 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=16 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=810 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:93 out:95 type:b dur:2 cpbdur:2 q:47.41 aq:48.13 tex:7443 mv:3918 misc:2167 imb:67 pmb:463 smb:9445 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:47.20 aq:50.45 tex:7128 mv:3676 misc:1868 imb:73 pmb:383 smb:9519 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:46.66 aq:42.36 tex:51936 mv:11685 misc:4355 imb:695 pmb:1021 smb:8259 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:46.88 aq:47.67 tex:10932 mv:6419 misc:2921 imb:135 pmb:700 smb:9140 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:46.99 aq:49.31 tex:7410 mv:3802 misc:2140 imb:56 pmb:477 smb:9442 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:46.77 aq:48.00 tex:7412 mv:4367 misc:2261 imb:74 pmb:508 smb:9393 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:46.21 aq:40.83 tex:47113 mv:11636 misc:4523 imb:564 pmb:1096 smb:8315 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:46.43 aq:46.65 tex:9636 mv:5946 misc:2698 imb:82 pmb:677 smb:9216 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:46.55 aq:50.14 tex:5931 mv:3521 misc:2132 imb:40 pmb:437 smb:9498 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:46.32 aq:49.05 tex:5963 mv:3040 misc:1989 imb:39 pmb:365 smb:9571 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:45.75 aq:41.66 tex:54116 mv:12650 misc:4610 imb:593 pmb:1224 smb:8158 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:45.98 aq:46.51 tex:7614 mv:6140 misc:2878 imb:95 pmb:710 smb:9170 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:46.09 aq:49.34 tex:5744 mv:3677 misc:2083 imb:58 pmb:397 smb:9520 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:45.86 aq:47.67 tex:5739 mv:3265 misc:2052 imb:61 pmb:382 smb:9532 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:45.28 aq:39.60 tex:53496 mv:12495 misc:4593 imb:579 pmb:1224 smb:8172 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:45.51 aq:45.07 tex:8991 mv:6803 misc:2926 imb:104 pmb:722 smb:9149 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:45.63 aq:49.34 tex:5800 mv:3110 misc:2010 imb:52 pmb:379 smb:9544 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:45.40 aq:46.60 tex:7332 mv:3815 misc:2181 imb:89 pmb:391 smb:9495 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:44.79 aq:40.67 tex:63190 mv:12149 misc:4621 imb:577 pmb:1231 smb:8167 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:45.03 aq:44.35 tex:9079 mv:6801 misc:2856 imb:95 pmb:722 smb:9158 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:45.16 aq:49.83 tex:5979 mv:3251 misc:2106 imb:43 pmb:394 smb:9538 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:44.91 aq:45.79 tex:5273 mv:3111 misc:2040 imb:43 pmb:385 smb:9547 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:44.37 aq:39.16 tex:64446 mv:12366 misc:4516 imb:550 pmb:1251 smb:8174 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:44.58 aq:42.84 tex:10208 mv:6680 misc:2768 imb:80 pmb:758 smb:9137 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:44.68 aq:49.13 tex:5705 mv:3580 misc:2147 imb:55 pmb:403 smb:9517 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:44.47 aq:48.37 tex:5031 mv:2748 misc:2005 imb:40 pmb:353 smb:9582 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:43.95 aq:40.10 tex:65292 mv:12067 misc:4553 imb:508 pmb:1242 smb:8225 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:44.16 aq:45.34 tex:12705 mv:6392 misc:2791 imb:81 pmb:704 smb:9190 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:44.27 aq:46.59 tex:7691 mv:3400 misc:1949 imb:52 pmb:382 smb:9541 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:44.05 aq:46.55 tex:11106 mv:4155 misc:2243 imb:96 pmb:437 smb:9442 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:43.69 aq:38.37 tex:66569 mv:12489 misc:4454 imb:434 pmb:1306 smb:8235 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:43.82 aq:45.54 tex:15790 mv:6845 misc:2861 imb:105 pmb:722 smb:9148 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:43.88 aq:47.83 tex:5583 mv:2957 misc:1844 imb:28 pmb:365 smb:9582 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:43.76 aq:48.94 tex:9547 mv:3086 misc:1951 imb:51 pmb:369 smb:9555 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:43.40 aq:38.58 tex:73692 mv:12363 misc:4457 imb:430 pmb:1362 smb:8183 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:43.54 aq:44.82 tex:13824 mv:6257 misc:2599 imb:79 pmb:674 smb:9222 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:43.62 aq:47.80 tex:6137 mv:2568 misc:1839 imb:22 pmb:344 smb:9609 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:43.47 aq:46.88 tex:10641 mv:3308 misc:1963 imb:65 pmb:386 smb:9524 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:43.14 aq:38.98 tex:66646 mv:11638 misc:4308 imb:345 pmb:1307 smb:8323 d:- ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:43.27 aq:44.70 tex:14271 mv:5883 misc:2622 imb:69 pmb:648 smb:9258 d:- ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:43.33 aq:46.02 tex:10072 mv:3420 misc:1956 imb:80 pmb:373 smb:9522 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:43.20 aq:48.36 tex:8177 mv:2937 misc:1798 imb:45 pmb:328 smb:9602 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:42.96 aq:38.73 tex:68014 mv:12075 misc:4263 imb:424 pmb:1308 smb:8243 d:- ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:43.05 aq:40.30 tex:16742 mv:5943 misc:2563 imb:68 pmb:661 smb:9246 d:- ref:0 ;
